#ies_format_version: 1.0
#file: 20250712_4000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 4.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	register1;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	register1
20250712;	120024;	1752301824.000;	        err7
20250712;	120028;	1752301828.000;	         102
20250712;	120032;	1752301832.000;	         102
20250712;	120036;	1752301836.000;	         103
20250712;	120040;	1752301840.000;	         104
20250712;	120044;	1752301844.000;	         105
20250712;	120048;	1752301848.000;	         106
20250712;	120052;	1752301852.000;	         106
20250712;	120056;	1752301856.000;	         107
20250712;	120100;	1752301860.000;	         108
20250712;	120104;	1752301864.000;	         109
20250712;	120108;	1752301868.000;	         110
20250712;	120112;	1752301872.000;	         110
20250712;	120116;	1752301876.000;	         111
20250712;	120120;	1752301880.000;	         112
20250712;	120124;	1752301884.000;	         113
20250712;	120128;	1752301888.000;	         114
20250712;	120132;	1752301892.000;	         114
20250712;	120136;	1752301896.000;	         115
20250712;	120140;	1752301900.000;	         116
20250712;	120144;	1752301904.000;	         117
20250712;	120148;	1752301908.000;	         118
20250712;	120152;	1752301912.000;	         118
20250712;	120156;	1752301916.000;	         119
20250712;	120200;	1752301920.000;	         120
20250712;	120204;	1752301924.000;	         121
20250712;	120208;	1752301928.000;	         122
20250712;	120212;	1752301932.000;	         122
20250712;	120216;	1752301936.000;	         123
20250712;	120220;	1752301940.000;	         124
20250712;	120224;	1752301944.000;	         125
20250712;	120228;	1752301948.000;	         126
20250712;	120232;	1752301952.000;	         126
20250712;	120236;	1752301956.000;	         127
20250712;	120240;	1752301960.000;	         128
20250712;	120244;	1752301964.000;	         129
20250712;	120248;	1752301968.000;	         130
20250712;	120252;	1752301972.000;	         130
20250712;	120256;	1752301976.000;	       err32
20250712;	120300;	1752301980.000;	       err32
20250712;	120304;	1752301984.000;	       err32
20250712;	120308;	1752301988.000;	       err32
20250712;	120312;	1752301992.000;	       err32
20250712;	120316;	1752301996.000;	       err32
20250712;	120320;	1752302000.000;	       err32
20250712;	120324;	1752302004.000;	       err32
20250712;	120328;	1752302008.000;	       err32
20250712;	120332;	1752302012.000;	       err32
20250712;	120336;	1752302016.000;	       err32
20250712;	120340;	1752302020.000;	       err32
20250712;	120344;	1752302024.000;	       err32
20250712;	120348;	1752302028.000;	       err32
20250712;	120352;	1752302032.000;	       err32
20250712;	120356;	1752302036.000;	       err32
20250712;	120400;	1752302040.000;	       err32
20250712;	120404;	1752302044.000;	       err32
20250712;	120408;	1752302048.000;	       err32
20250712;	120412;	1752302052.000;	       err32
20250712;	120416;	1752302056.000;	       err32
20250712;	120420;	1752302060.000;	       err32
20250712;	120424;	1752302064.000;	       err32
20250712;	120428;	1752302068.000;	       err32
20250712;	120432;	1752302072.000;	       err32
20250712;	120436;	1752302076.000;	       err32
20250712;	120440;	1752302080.000;	       err32
20250712;	120444;	1752302084.000;	       err32
20250712;	120448;	1752302088.000;	       err32
20250712;	120452;	1752302092.000;	       err32
20250712;	120456;	1752302096.000;	       err32
20250712;	120500;	1752302100.000;	       err32
20250712;	120504;	1752302104.000;	       err32
20250712;	120508;	1752302108.000;	       err32
20250712;	120512;	1752302112.000;	       err32
20250712;	120516;	1752302116.000;	       err32
20250712;	120520;	1752302120.000;	       err32
20250712;	120524;	1752302124.000;	       err32
20250712;	120528;	1752302128.000;	       err32
20250712;	120532;	1752302132.000;	       err32
20250712;	120536;	1752302136.000;	       err32
20250712;	120540;	1752302140.000;	       err32
20250712;	120544;	1752302144.000;	       err32
20250712;	120548;	1752302148.000;	       err32
20250712;	120552;	1752302152.000;	       err32
20250712;	120556;	1752302156.000;	       err32
20250712;	120600;	1752302160.000;	       err32
20250712;	120604;	1752302164.000;	       err32
20250712;	120608;	1752302168.000;	       err32
20250712;	120612;	1752302172.000;	       err32
20250712;	120616;	1752302176.000;	       err32
20250712;	120620;	1752302180.000;	       err32
20250712;	120624;	1752302184.000;	       err32
20250712;	120628;	1752302188.000;	       err32
20250712;	120632;	1752302192.000;	       err32
20250712;	120636;	1752302196.000;	       err32
20250712;	120640;	1752302200.000;	       err32
20250712;	120644;	1752302204.000;	       err32
20250712;	120648;	1752302208.000;	       err32
20250712;	120652;	1752302212.000;	       err32
20250712;	120656;	1752302216.000;	       err32
20250712;	120700;	1752302220.000;	       err32
20250712;	120704;	1752302224.000;	       err32
20250712;	120708;	1752302228.000;	       err32
20250712;	120712;	1752302232.000;	       err32
20250712;	120716;	1752302236.000;	       err32
20250712;	120720;	1752302240.000;	       err32
20250712;	120724;	1752302244.000;	       err32
20250712;	120728;	1752302248.000;	       err32
20250712;	120732;	1752302252.000;	       err32
20250712;	120736;	1752302256.000;	       err32
20250712;	120740;	1752302260.000;	       err32
20250712;	120744;	1752302264.000;	       err32
20250712;	120748;	1752302268.000;	       err32
20250712;	120752;	1752302272.000;	       err32
20250712;	120756;	1752302276.000;	       err32
20250712;	120800;	1752302280.000;	       err32
20250712;	120804;	1752302284.000;	       err32
20250712;	120808;	1752302288.000;	       err32
20250712;	120812;	1752302292.000;	       err32
20250712;	120816;	1752302296.000;	       err32
20250712;	120820;	1752302300.000;	       err32
20250712;	120824;	1752302304.000;	       err32
20250712;	120828;	1752302308.000;	       err32
20250712;	120832;	1752302312.000;	       err32
20250712;	120836;	1752302316.000;	       err32
20250712;	120840;	1752302320.000;	       err32
20250712;	120844;	1752302324.000;	       err32
20250712;	120848;	1752302328.000;	       err32
20250712;	120852;	1752302332.000;	       err32
20250712;	120856;	1752302336.000;	       err32
20250712;	120900;	1752302340.000;	       err32
20250712;	120904;	1752302344.000;	       err32
20250712;	120908;	1752302348.000;	       err32
20250712;	120912;	1752302352.000;	       err32
20250712;	120916;	1752302356.000;	       err32
20250712;	120920;	1752302360.000;	       err32
20250712;	120924;	1752302364.000;	       err32
20250712;	120928;	1752302368.000;	       err32
20250712;	120932;	1752302372.000;	       err32
20250712;	120936;	1752302376.000;	       err32
20250712;	120940;	1752302380.000;	       err32
20250712;	120944;	1752302384.000;	       err32
20250712;	120948;	1752302388.000;	       err32
20250712;	120952;	1752302392.000;	       err32
20250712;	120956;	1752302396.000;	       err32
20250712;	121000;	1752302400.000;	       err32
20250712;	121004;	1752302404.000;	       err32
20250712;	121008;	1752302408.000;	       err32
20250712;	121012;	1752302412.000;	       err32
20250712;	121016;	1752302416.000;	       err32
20250712;	121020;	1752302420.000;	       err32
20250712;	121024;	1752302424.000;	       err32
20250712;	121028;	1752302428.000;	       err32
20250712;	121032;	1752302432.000;	       err32
20250712;	121036;	1752302436.000;	       err32
20250712;	121040;	1752302440.000;	       err32
20250712;	121044;	1752302444.000;	       err32
20250712;	121048;	1752302448.000;	       err32
20250712;	121052;	1752302452.000;	       err32
20250712;	121056;	1752302456.000;	       err32
20250712;	121100;	1752302460.000;	       err32
20250712;	121104;	1752302464.000;	       err32
20250712;	121108;	1752302468.000;	       err32
20250712;	121112;	1752302472.000;	       err32
20250712;	121116;	1752302476.000;	       err32
20250712;	121120;	1752302480.000;	       err32
20250712;	121124;	1752302484.000;	       err32
20250712;	121128;	1752302488.000;	       err32
20250712;	121132;	1752302492.000;	       err32
20250712;	121136;	1752302496.000;	       err32
20250712;	121140;	1752302500.000;	       err32
20250712;	121144;	1752302504.000;	       err32
20250712;	121148;	1752302508.000;	       err32
20250712;	121152;	1752302512.000;	       err32
20250712;	121156;	1752302516.000;	       err32
20250712;	121200;	1752302520.000;	       err32
20250712;	121204;	1752302524.000;	       err32
20250712;	121208;	1752302528.000;	       err32
20250712;	121212;	1752302532.000;	       err32
20250712;	121216;	1752302536.000;	       err32
20250712;	121220;	1752302540.000;	       err32
20250712;	121224;	1752302544.000;	       err32
20250712;	121228;	1752302548.000;	       err32
20250712;	121232;	1752302552.000;	       err32
20250712;	121236;	1752302556.000;	       err32
20250712;	121240;	1752302560.000;	       err32
20250712;	121244;	1752302564.000;	       err32
20250712;	121248;	1752302568.000;	       err32
20250712;	121252;	1752302572.000;	       err32
20250712;	121256;	1752302576.000;	       err32
20250712;	121300;	1752302580.000;	       err32
20250712;	121304;	1752302584.000;	       err32
20250712;	121308;	1752302588.000;	       err32
20250712;	121312;	1752302592.000;	       err32
20250712;	121316;	1752302596.000;	       err32
20250712;	121320;	1752302600.000;	       err32
20250712;	121324;	1752302604.000;	       err32
20250712;	121328;	1752302608.000;	       err32
20250712;	121332;	1752302612.000;	       err32
20250712;	121336;	1752302616.000;	       err32
20250712;	121340;	1752302620.000;	       err32
20250712;	121344;	1752302624.000;	       err32
20250712;	121348;	1752302628.000;	       err32
20250712;	121352;	1752302632.000;	       err32
20250712;	121356;	1752302636.000;	       err32
20250712;	121400;	1752302640.000;	       err32
20250712;	121404;	1752302644.000;	       err32
20250712;	121408;	1752302648.000;	       err32
20250712;	121412;	1752302652.000;	       err32
20250712;	121416;	1752302656.000;	       err32
20250712;	121420;	1752302660.000;	       err32
20250712;	121424;	1752302664.000;	       err32
20250712;	121428;	1752302668.000;	       err32
20250712;	121432;	1752302672.000;	       err32
20250712;	121436;	1752302676.000;	       err32
20250712;	121440;	1752302680.000;	       err32
20250712;	121444;	1752302684.000;	       err32
20250712;	121448;	1752302688.000;	       err32
20250712;	121452;	1752302692.000;	       err32
20250712;	121456;	1752302696.000;	       err32
20250712;	121500;	1752302700.000;	       err32
20250712;	121504;	1752302704.000;	       err32
20250712;	121508;	1752302708.000;	       err32
20250712;	121512;	1752302712.000;	       err32
20250712;	121516;	1752302716.000;	       err32
20250712;	121520;	1752302720.000;	       err32
20250712;	121524;	1752302724.000;	       err32
20250712;	121528;	1752302728.000;	       err32
20250712;	121532;	1752302732.000;	       err32
20250712;	121536;	1752302736.000;	       err32
20250712;	121540;	1752302740.000;	       err32
20250712;	121544;	1752302744.000;	       err32
20250712;	121548;	1752302748.000;	       err32
20250712;	121552;	1752302752.000;	       err32
20250712;	121556;	1752302756.000;	       err32
20250712;	121600;	1752302760.000;	       err32
20250712;	121604;	1752302764.000;	       err32
20250712;	121608;	1752302768.000;	       err32
20250712;	121612;	1752302772.000;	       err32
20250712;	121616;	1752302776.000;	       err32
20250712;	121620;	1752302780.000;	       err32
20250712;	121624;	1752302784.000;	       err32
20250712;	121628;	1752302788.000;	       err32
20250712;	121632;	1752302792.000;	       err32
20250712;	121636;	1752302796.000;	       err32
20250712;	121640;	1752302800.000;	       err32
20250712;	121644;	1752302804.000;	       err32
20250712;	121648;	1752302808.000;	       err32
20250712;	121652;	1752302812.000;	       err32
20250712;	121656;	1752302816.000;	       err32
20250712;	121700;	1752302820.000;	       err32
20250712;	121704;	1752302824.000;	       err32
20250712;	121708;	1752302828.000;	       err32
20250712;	121712;	1752302832.000;	       err32
20250712;	121716;	1752302836.000;	       err32
20250712;	121720;	1752302840.000;	       err32
20250712;	121724;	1752302844.000;	       err32
20250712;	121728;	1752302848.000;	       err32
20250712;	121732;	1752302852.000;	       err32
20250712;	121736;	1752302856.000;	       err32
20250712;	121740;	1752302860.000;	       err32
20250712;	121744;	1752302864.000;	       err32
20250712;	121748;	1752302868.000;	       err32
20250712;	121752;	1752302872.000;	       err32
20250712;	121756;	1752302876.000;	       err32
20250712;	121800;	1752302880.000;	       err32
20250712;	121804;	1752302884.000;	       err32
20250712;	121808;	1752302888.000;	       err32
20250712;	121812;	1752302892.000;	       err32
20250712;	121816;	1752302896.000;	       err32
20250712;	121820;	1752302900.000;	       err32
20250712;	121824;	1752302904.000;	       err32
20250712;	121828;	1752302908.000;	       err32
20250712;	121832;	1752302912.000;	       err32
20250712;	121836;	1752302916.000;	       err32
20250712;	121840;	1752302920.000;	       err32
20250712;	121844;	1752302924.000;	       err32
20250712;	121848;	1752302928.000;	       err32
20250712;	121852;	1752302932.000;	       err32
20250712;	121856;	1752302936.000;	       err32
20250712;	121900;	1752302940.000;	       err32
20250712;	121904;	1752302944.000;	       err32
20250712;	121908;	1752302948.000;	       err32
20250712;	121912;	1752302952.000;	       err32
20250712;	121916;	1752302956.000;	       err32
20250712;	121920;	1752302960.000;	       err32
20250712;	121924;	1752302964.000;	       err32
20250712;	121928;	1752302968.000;	       err32
20250712;	121932;	1752302972.000;	       err32
20250712;	121936;	1752302976.000;	       err32
20250712;	121940;	1752302980.000;	       err32
20250712;	121944;	1752302984.000;	       err32
20250712;	121948;	1752302988.000;	       err32
20250712;	121952;	1752302992.000;	       err32
20250712;	121956;	1752302996.000;	       err32
20250712;	122000;	1752303000.000;	       err32
20250712;	122004;	1752303004.000;	       err32
20250712;	122008;	1752303008.000;	       err32
20250712;	122012;	1752303012.000;	       err32
20250712;	122016;	1752303016.000;	       err32
20250712;	122020;	1752303020.000;	       err32
20250712;	122024;	1752303024.000;	       err32
20250712;	122028;	1752303028.000;	       err32
20250712;	122032;	1752303032.000;	       err32
20250712;	122036;	1752303036.000;	       err32
20250712;	122040;	1752303040.000;	       err32
20250712;	122044;	1752303044.000;	       err32
20250712;	122048;	1752303048.000;	       err32
20250712;	122052;	1752303052.000;	       err32
20250712;	122056;	1752303056.000;	       err32
20250712;	122100;	1752303060.000;	       err32
20250712;	122104;	1752303064.000;	       err32
20250712;	122108;	1752303068.000;	       err32
20250712;	122112;	1752303072.000;	       err32
20250712;	122116;	1752303076.000;	       err32
20250712;	122120;	1752303080.000;	       err32
20250712;	122124;	1752303084.000;	       err32
20250712;	122128;	1752303088.000;	       err32
20250712;	122132;	1752303092.000;	       err32
20250712;	122136;	1752303096.000;	       err32
20250712;	122140;	1752303100.000;	       err32
20250712;	122144;	1752303104.000;	       err32
20250712;	122148;	1752303108.000;	       err32
20250712;	122152;	1752303112.000;	       err32
20250712;	122156;	1752303116.000;	       err32
20250712;	122200;	1752303120.000;	       err32
20250712;	122204;	1752303124.000;	       err32
20250712;	122208;	1752303128.000;	       err32
20250712;	122212;	1752303132.000;	       err32
20250712;	122216;	1752303136.000;	       err32
20250712;	122220;	1752303140.000;	       err32
20250712;	122224;	1752303144.000;	       err32
20250712;	122228;	1752303148.000;	       err32
20250712;	122232;	1752303152.000;	       err32
20250712;	122236;	1752303156.000;	       err32
20250712;	122240;	1752303160.000;	       err32
20250712;	122244;	1752303164.000;	       err32
20250712;	122248;	1752303168.000;	       err32
20250712;	122252;	1752303172.000;	       err32
20250712;	122256;	1752303176.000;	       err32
20250712;	122300;	1752303180.000;	       err32
20250712;	122304;	1752303184.000;	       err32
20250712;	122308;	1752303188.000;	       err32
20250712;	122312;	1752303192.000;	       err32
20250712;	122316;	1752303196.000;	       err32
20250712;	122320;	1752303200.000;	       err32
20250712;	122324;	1752303204.000;	       err32
20250712;	122328;	1752303208.000;	       err32
20250712;	122332;	1752303212.000;	       err32
20250712;	122336;	1752303216.000;	       err32
20250712;	122340;	1752303220.000;	       err32
20250712;	122344;	1752303224.000;	       err32
20250712;	122348;	1752303228.000;	       err32
20250712;	122352;	1752303232.000;	       err32
20250712;	122356;	1752303236.000;	       err32
20250712;	122400;	1752303240.000;	       err32
20250712;	122404;	1752303244.000;	       err32
20250712;	122408;	1752303248.000;	       err32
20250712;	122412;	1752303252.000;	       err32
20250712;	122416;	1752303256.000;	       err32
20250712;	122420;	1752303260.000;	       err32
20250712;	122424;	1752303264.000;	       err32
20250712;	122428;	1752303268.000;	       err32
20250712;	122432;	1752303272.000;	       err32
20250712;	122436;	1752303276.000;	       err32
20250712;	122440;	1752303280.000;	       err32
20250712;	122444;	1752303284.000;	       err32
20250712;	122448;	1752303288.000;	       err32
20250712;	122452;	1752303292.000;	       err32
20250712;	122456;	1752303296.000;	       err32
20250712;	122500;	1752303300.000;	       err32
20250712;	122504;	1752303304.000;	       err32
20250712;	122508;	1752303308.000;	       err32
20250712;	122512;	1752303312.000;	       err32
20250712;	122516;	1752303316.000;	       err32
20250712;	122520;	1752303320.000;	       err32
20250712;	122524;	1752303324.000;	       err32
20250712;	122528;	1752303328.000;	       err32
20250712;	122532;	1752303332.000;	       err32
20250712;	122536;	1752303336.000;	       err32
20250712;	122540;	1752303340.000;	       err32
20250712;	122544;	1752303344.000;	       err32
20250712;	122548;	1752303348.000;	       err32
20250712;	122552;	1752303352.000;	       err32
20250712;	122556;	1752303356.000;	       err32
20250712;	122600;	1752303360.000;	       err32
20250712;	122604;	1752303364.000;	       err32
20250712;	122608;	1752303368.000;	       err32
20250712;	122612;	1752303372.000;	       err32
20250712;	122616;	1752303376.000;	       err32
20250712;	122620;	1752303380.000;	       err32
20250712;	122624;	1752303384.000;	       err32
20250712;	122628;	1752303388.000;	       err32
